iter: 1000, loss: 0.12648, PSNR: 16.4463, SSIM: 0.7389, MSE: 0.0240
iter: 2000, loss: 0.09911, PSNR: 18.2635, SSIM: 0.8061, MSE: 0.0159
iter: 3000, loss: 0.10250, PSNR: 18.2311, SSIM: 0.8063, MSE: 0.0176
iter: 4000, loss: 0.10977, PSNR: 17.6421, SSIM: 0.8007, MSE: 0.0220
iter: 5000, loss: 0.10491, PSNR: 18.0675, SSIM: 0.8048, MSE: 0.0196
iter: 6000, loss: 0.10554, PSNR: 17.9934, SSIM: 0.7954, MSE: 0.0202
iter: 7000, loss: 0.11069, PSNR: 17.6091, SSIM: 0.8018, MSE: 0.0225
iter: 8000, loss: 0.10842, PSNR: 17.5826, SSIM: 0.7930, MSE: 0.0207
iter: 9000, loss: 0.10760, PSNR: 17.5210, SSIM: 0.7984, MSE: 0.0201
iter: 10000, loss: 0.10697, PSNR: 17.7904, SSIM: 0.8039, MSE: 0.0204
iter: 11000, loss: 0.10098, PSNR: 18.3972, SSIM: 0.8147, MSE: 0.0194
iter: 12000, loss: 0.10645, PSNR: 17.9196, SSIM: 0.8056, MSE: 0.0212
iter: 13000, loss: 0.10456, PSNR: 17.9626, SSIM: 0.8025, MSE: 0.0200
iter: 14000, loss: 0.09135, PSNR: 18.9800, SSIM: 0.8213, MSE: 0.0149
iter: 15000, loss: 0.09659, PSNR: 18.5155, SSIM: 0.8133, MSE: 0.0160
iter: 16000, loss: 0.09942, PSNR: 18.3648, SSIM: 0.8089, MSE: 0.0175
iter: 17000, loss: 0.09246, PSNR: 19.0185, SSIM: 0.8182, MSE: 0.0161
iter: 18000, loss: 0.09919, PSNR: 18.4028, SSIM: 0.8103, MSE: 0.0189
iter: 19000, loss: 0.09583, PSNR: 18.7130, SSIM: 0.8181, MSE: 0.0166
iter: 20000, loss: 0.09595, PSNR: 18.6380, SSIM: 0.8128, MSE: 0.0158
iter: 21000, loss: 0.09307, PSNR: 18.8055, SSIM: 0.8160, MSE: 0.0150
iter: 22000, loss: 0.09777, PSNR: 18.3422, SSIM: 0.8082, MSE: 0.0169
iter: 23000, loss: 0.10108, PSNR: 18.2875, SSIM: 0.8129, MSE: 0.0160
iter: 24000, loss: 0.09297, PSNR: 18.8073, SSIM: 0.8148, MSE: 0.0146
iter: 25000, loss: 0.09917, PSNR: 18.4238, SSIM: 0.8058, MSE: 0.0168
iter: 26000, loss: 0.09624, PSNR: 18.5917, SSIM: 0.8164, MSE: 0.0152
iter: 27000, loss: 0.09248, PSNR: 18.9482, SSIM: 0.8133, MSE: 0.0153
iter: 28000, loss: 0.09810, PSNR: 18.4440, SSIM: 0.8092, MSE: 0.0158
iter: 29000, loss: 0.09499, PSNR: 18.8589, SSIM: 0.8112, MSE: 0.0165
iter: 30000, loss: 0.09182, PSNR: 19.0165, SSIM: 0.8207, MSE: 0.0150
iter: 31000, loss: 0.09209, PSNR: 18.9424, SSIM: 0.8147, MSE: 0.0148
iter: 32000, loss: 0.09035, PSNR: 19.0762, SSIM: 0.8148, MSE: 0.0147
iter: 33000, loss: 0.09522, PSNR: 18.7095, SSIM: 0.8090, MSE: 0.0164
iter: 34000, loss: 0.09609, PSNR: 18.5922, SSIM: 0.8020, MSE: 0.0163
iter: 35000, loss: 0.09489, PSNR: 18.7463, SSIM: 0.8103, MSE: 0.0162
iter: 36000, loss: 0.09403, PSNR: 18.7760, SSIM: 0.8075, MSE: 0.0146
iter: 37000, loss: 0.09510, PSNR: 18.7043, SSIM: 0.8117, MSE: 0.0150
iter: 38000, loss: 0.09874, PSNR: 18.4532, SSIM: 0.8056, MSE: 0.0173
iter: 39000, loss: 0.09708, PSNR: 18.5633, SSIM: 0.8014, MSE: 0.0169
iter: 40000, loss: 0.09723, PSNR: 18.6325, SSIM: 0.8091, MSE: 0.0173

Maximum PSNR: 19.0762
Maximum SSIM: 0.8213
Minimum MSE: 0.0146
