{'use_physical': True, 'iter_num': 20000, 'train_batch_size': 4, 'last_iter': 0, 'lr': 0.0002, 'lr_decay': 0.9, 'weight_decay': 2e-05, 'momentum': 0.9, 'snapshot': '', 'val_freq': 1000, 'crop_size': 512}

[iter 31], [train loss 0.66949], [loss_x_fusion 0.12579], [loss_x_j1 0.12834], [loss_x_j2 0.13797], [loss_x_j3 0.13691], [loss_x_j4 0.14048], [lr 0.0001997299797]
[iter 32], [train loss 0.67637], [loss_x_fusion 0.12712], [loss_x_j1 0.13016], [loss_x_j2 0.13902], [loss_x_j3 0.13943], [loss_x_j4 0.14063], [lr 0.0001997209784]
[iter 33], [train loss 0.91469], [loss_x_fusion 0.17699], [loss_x_j1 0.17465], [loss_x_j2 0.19637], [loss_x_j3 0.20011], [loss_x_j4 0.16656], [lr 0.0001997119769]
[iter 34], [train loss 0.78146], [loss_x_fusion 0.14906], [loss_x_j1 0.15254], [loss_x_j2 0.16334], [loss_x_j3 0.16734], [loss_x_j4 0.14918], [lr 0.0001997029755]
[iter 35], [train loss 0.70668], [loss_x_fusion 0.13587], [loss_x_j1 0.13967], [loss_x_j2 0.14618], [loss_x_j3 0.14798], [loss_x_j4 0.13697], [lr 0.0001996939740]
[iter 36], [train loss 0.67861], [loss_x_fusion 0.12978], [loss_x_j1 0.12922], [loss_x_j2 0.14398], [loss_x_j3 0.14740], [loss_x_j4 0.12824], [lr 0.0001996849724]
[iter 37], [train loss 0.65293], [loss_x_fusion 0.12414], [loss_x_j1 0.12462], [loss_x_j2 0.13958], [loss_x_j3 0.14147], [loss_x_j4 0.12312], [lr 0.0001996759708]
[iter 38], [train loss 0.64419], [loss_x_fusion 0.12279], [loss_x_j1 0.12361], [loss_x_j2 0.13778], [loss_x_j3 0.13754], [loss_x_j4 0.12248], [lr 0.0001996669692]
[iter 39], [train loss 0.64875], [loss_x_fusion 0.12361], [loss_x_j1 0.12288], [loss_x_j2 0.14046], [loss_x_j3 0.13913], [loss_x_j4 0.12266], [lr 0.0001996579675]
[iter 40], [train loss 0.65772], [loss_x_fusion 0.12507], [loss_x_j1 0.12280], [loss_x_j2 0.14301], [loss_x_j3 0.14404], [loss_x_j4 0.12280], [lr 0.0001996489658]
[iter 41], [train loss 0.91289], [loss_x_fusion 0.17922], [loss_x_j1 0.17596], [loss_x_j2 0.19442], [loss_x_j3 0.18572], [loss_x_j4 0.17757], [lr 0.0001996399640]
[iter 42], [train loss 0.69880], [loss_x_fusion 0.13032], [loss_x_j1 0.12637], [loss_x_j2 0.15753], [loss_x_j3 0.15525], [loss_x_j4 0.12934], [lr 0.0001996309621]
[iter 43], [train loss 0.66123], [loss_x_fusion 0.12397], [loss_x_j1 0.12051], [loss_x_j2 0.14924], [loss_x_j3 0.14770], [loss_x_j4 0.11980], [lr 0.0001996219603]
[iter 44], [train loss 0.64956], [loss_x_fusion 0.12223], [loss_x_j1 0.11778], [loss_x_j2 0.14655], [loss_x_j3 0.14505], [loss_x_j4 0.11795], [lr 0.0001996129584]
[iter 45], [train loss 0.64358], [loss_x_fusion 0.11945], [loss_x_j1 0.11350], [loss_x_j2 0.14806], [loss_x_j3 0.14813], [loss_x_j4 0.11444], [lr 0.0001996039564]
[iter 46], [train loss 0.61656], [loss_x_fusion 0.11341], [loss_x_j1 0.10772], [loss_x_j2 0.14269], [loss_x_j3 0.14376], [loss_x_j4 0.10898], [lr 0.0001995949544]
[iter 47], [train loss 0.60247], [loss_x_fusion 0.11096], [loss_x_j1 0.10649], [loss_x_j2 0.13798], [loss_x_j3 0.13910], [loss_x_j4 0.10794], [lr 0.0001995859523]
[iter 48], [train loss 0.60049], [loss_x_fusion 0.11105], [loss_x_j1 0.10704], [loss_x_j2 0.13638], [loss_x_j3 0.13755], [loss_x_j4 0.10847], [lr 0.0001995769503]
[iter 49], [train loss 0.57238], [loss_x_fusion 0.11693], [loss_x_j1 0.12551], [loss_x_j2 0.09962], [loss_x_j3 0.10271], [loss_x_j4 0.12761], [lr 0.0001995679481]
[iter 50], [train loss 0.53124], [loss_x_fusion 0.09892], [loss_x_j1 0.10173], [loss_x_j2 0.11207], [loss_x_j3 0.11261], [loss_x_j4 0.10591], [lr 0.0001995589459]
[iter 51], [train loss 0.63851], [loss_x_fusion 0.11962], [loss_x_j1 0.12078], [loss_x_j2 0.13775], [loss_x_j3 0.13697], [loss_x_j4 0.12340], [lr 0.0001995499437]
[iter 52], [train loss 0.64388], [loss_x_fusion 0.12085], [loss_x_j1 0.12178], [loss_x_j2 0.13915], [loss_x_j3 0.13845], [loss_x_j4 0.12365], [lr 0.0001995409414]
[iter 53], [train loss 0.61311], [loss_x_fusion 0.11516], [loss_x_j1 0.11598], [loss_x_j2 0.13211], [loss_x_j3 0.13139], [loss_x_j4 0.11848], [lr 0.0001995319391]
[iter 54], [train loss 0.61186], [loss_x_fusion 0.11500], [loss_x_j1 0.11556], [loss_x_j2 0.13220], [loss_x_j3 0.13096], [loss_x_j4 0.11814], [lr 0.0001995229367]
[iter 55], [train loss 0.59968], [loss_x_fusion 0.11259], [loss_x_j1 0.11278], [loss_x_j2 0.12990], [loss_x_j3 0.12929], [loss_x_j4 0.11513], [lr 0.0001995139343]
[iter 56], [train loss 0.59607], [loss_x_fusion 0.11098], [loss_x_j1 0.11037], [loss_x_j2 0.13169], [loss_x_j3 0.13052], [loss_x_j4 0.11251], [lr 0.0001995049319]
[iter 57], [train loss 0.74462], [loss_x_fusion 0.14615], [loss_x_j1 0.14893], [loss_x_j2 0.15044], [loss_x_j3 0.15003], [loss_x_j4 0.14907], [lr 0.0001994959294]
[iter 58], [train loss 0.62906], [loss_x_fusion 0.12071], [loss_x_j1 0.12234], [loss_x_j2 0.13506], [loss_x_j3 0.13030], [loss_x_j4 0.12065], [lr 0.0001994869268]
[iter 59], [train loss 0.65771], [loss_x_fusion 0.12721], [loss_x_j1 0.13183], [loss_x_j2 0.13897], [loss_x_j3 0.13255], [loss_x_j4 0.12715], [lr 0.0001994779242]
[iter 60], [train loss 0.60901], [loss_x_fusion 0.11482], [loss_x_j1 0.11791], [loss_x_j2 0.13437], [loss_x_j3 0.12663], [loss_x_j4 0.11527], [lr 0.0001994689216]
[iter 61], [train loss 0.59488], [loss_x_fusion 0.11270], [loss_x_j1 0.11671], [loss_x_j2 0.12947], [loss_x_j3 0.12303], [loss_x_j4 0.11297], [lr 0.0001994599189]
[iter 62], [train loss 0.58595], [loss_x_fusion 0.11162], [loss_x_j1 0.11398], [loss_x_j2 0.12507], [loss_x_j3 0.12128], [loss_x_j4 0.11400], [lr 0.0001994509162]
[iter 63], [train loss 0.59273], [loss_x_fusion 0.11316], [loss_x_j1 0.11586], [loss_x_j2 0.12577], [loss_x_j3 0.12264], [loss_x_j4 0.11529], [lr 0.0001994419134]
[iter 64], [train loss 0.58109], [loss_x_fusion 0.11102], [loss_x_j1 0.11307], [loss_x_j2 0.12323], [loss_x_j3 0.12016], [loss_x_j4 0.11362], [lr 0.0001994329106]
[iter 65], [train loss 0.61930], [loss_x_fusion 0.11826], [loss_x_j1 0.11742], [loss_x_j2 0.13028], [loss_x_j3 0.13322], [loss_x_j4 0.12013], [lr 0.0001994239077]
[iter 66], [train loss 0.57059], [loss_x_fusion 0.10865], [loss_x_j1 0.11059], [loss_x_j2 0.11795], [loss_x_j3 0.12093], [loss_x_j4 0.11247], [lr 0.0001994149048]
[iter 67], [train loss 0.54353], [loss_x_fusion 0.10181], [loss_x_j1 0.10717], [loss_x_j2 0.11167], [loss_x_j3 0.11624], [loss_x_j4 0.10665], [lr 0.0001994059019]
[iter 68], [train loss 0.51942], [loss_x_fusion 0.09777], [loss_x_j1 0.10274], [loss_x_j2 0.10715], [loss_x_j3 0.10905], [loss_x_j4 0.10271], [lr 0.0001993968989]
[iter 69], [train loss 0.51420], [loss_x_fusion 0.09751], [loss_x_j1 0.10185], [loss_x_j2 0.10545], [loss_x_j3 0.10625], [loss_x_j4 0.10315], [lr 0.0001993878958]
[iter 70], [train loss 0.53175], [loss_x_fusion 0.09688], [loss_x_j1 0.10154], [loss_x_j2 0.11419], [loss_x_j3 0.11636], [loss_x_j4 0.10278], [lr 0.0001993788927]
[iter 71], [train loss 0.54444], [loss_x_fusion 0.09973], [loss_x_j1 0.10342], [loss_x_j2 0.11769], [loss_x_j3 0.11942], [loss_x_j4 0.10417], [lr 0.0001993698896]
[iter 72], [train loss 0.54504], [loss_x_fusion 0.10091], [loss_x_j1 0.10467], [loss_x_j2 0.11595], [loss_x_j3 0.11776], [loss_x_j4 0.10575], [lr 0.0001993608864]
